Indeks,Okres,Model,Ljung–Box p (lag=20),Jarque–Bera p,n_reszt,alpha1,beta1,alpha1+beta1,Ljung–Box(reszt) p (lag=20),Ljung–Box(reszt^2) p (lag=20),ARCH LM stat,ARCH LM p,ARCH F stat,ARCH F p,OOB R^2,Feature importance (top),R^2 (HAR)
BVP,niestabilny,"GARCH(1,1)",0.0,0.0,494,0.04860528271604723,0.8972388247413905,0.9458441074574377,9.374446005939143e-16,4.1331997586732694e-139,128.6875828645583,6.868419735160322e-18,8.440975786685902,3.2666299749932026e-21,,,
BVP,niestabilny,HAR-RV,0.39276817672461867,1.051373033237397e-93,243,,,,,,,,,,,,
BVP,niestabilny,RandomForest,0.3284834051554043,6.086955172251423e-41,243,,,,,,,,,,0.9893364172367097,"{'RV_lag': 0.7565, 'MACD_sig_lag': 0.1333, 'MA_5_lag': 0.0441, 'MA_22_lag': 0.0316, 'MACD_lag': 0.0315, 'RSI_14_lag': 0.003}",
BVP,stabilny,"GARCH(1,1)",2.9759946310778326e-261,2.0707483057880753e-83,493,0.057419907779822,0.9003332980599305,0.9577532058397524,0.06909045581937646,0.2772835391201131,14.776259278355177,0.7890637206892167,0.7287781710413092,0.7972151368522263,,,
BVP,stabilny,HAR-RV,0.9999564136559705,0.0,242,,,,,,,,,,,,
BVP,stabilny,RandomForest,0.8170455482836294,0.0,242,,,,,,,,,,0.942424569718541,"{'RV_lag': 0.9628, 'RSI_14_lag': 0.009, 'MACD_lag': 0.0087, 'MACD_sig_lag': 0.0071, 'MA_5_lag': 0.0062, 'MA_22_lag': 0.0061}",
SPX,niestabilny,"GARCH(1,1)",2.0339510096863063e-117,0.0,502,0.1557377509160651,0.7940204820982295,0.9497582330142946,1.8510586975974776e-48,6.483039435841121e-139,217.33072179110488,4.068669193281887e-35,18.92729360651805,4.856815305959068e-48,,,
SPX,niestabilny,HAR-RV,0.05856017869480725,3.6619746781513085e-83,251,,,,,,,,,,,,
SPX,niestabilny,RandomForest,1.9841507120084105e-07,1.9086341158967232e-18,251,,,,,,,,,,0.9887003980221204,"{'RV_lag': 0.7375, 'MA_22_lag': 0.2068, 'MA_5_lag': 0.0258, 'MACD_sig_lag': 0.015, 'MACD_lag': 0.0134, 'RSI_14_lag': 0.0015}",
SPX,stabilny,"GARCH(1,1)",4.651816961711898e-99,2.9366018731565476e-93,501,0.1489658953380362,0.7285176625933567,0.8774835579313929,0.15299322764842488,2.3556771193632495e-32,64.13264843342012,1.6031132258932587e-06,3.538417936606089,5.392624844129838e-07,,,
SPX,stabilny,HAR-RV,0.40411459918583487,0.0,250,,,,,,,,,,,,
SPX,stabilny,RandomForest,0.004186972419956064,3.1136431868665216e-192,250,,,,,,,,,,0.966020263007645,"{'RV_lag': 0.9737, 'MACD_sig_lag': 0.0078, 'MA_5_lag': 0.0066, 'MA_22_lag': 0.0051, 'MACD_lag': 0.0045, 'RSI_14_lag': 0.0024}",
WIG20,niestabilny,"GARCH(1,1)",3.6722227646794085e-163,0.0,500,0.10912639792329788,0.8644194217146295,0.9735458196379274,0.24592181948946262,1.1260506651129009e-15,95.34516592062681,8.494255869856609e-12,5.6886625722916495,2.854709900154452e-13,,,
WIG20,niestabilny,HAR-RV,0.09239490997768048,0.0,249,,,,,,,,,,,,
WIG20,niestabilny,RandomForest,8.589598330776776e-08,0.0,249,,,,,,,,,,0.950131269539706,"{'RV_lag': 0.8143, 'MACD_sig_lag': 0.062, 'MA_22_lag': 0.0541, 'MACD_lag': 0.0365, 'MA_5_lag': 0.0293, 'RSI_14_lag': 0.0038}",
WIG20,stabilny,"GARCH(1,1)",1.810509383915604e-306,1.598820548610945e-05,499,1.4263319228613285e-13,0.9910846525190941,0.9910846525192367,0.3511824642044415,0.001080406780703137,34.76288503959853,0.021404112771952886,1.791993601159973,0.019177219033891583,,,
WIG20,stabilny,HAR-RV,0.24623932965551731,4.157887203957553e-82,248,,,,,,,,,,,,
WIG20,stabilny,RandomForest,0.0017760095045472554,3.032847750035564e-20,248,,,,,,,,,,0.9295480062114335,"{'RV_lag': 0.9543, 'MA_22_lag': 0.0123, 'MACD_sig_lag': 0.01, 'RSI_14_lag': 0.009, 'MA_5_lag': 0.0079, 'MACD_lag': 0.0064}",
